Date,Selina,Sub Category,Capacity,Out of Order,Available Beds,Sold Beds,Room Revenue USD,Food and Beverage Revenue,Activities Revenue,Co-Working Revenue,Average Guest Review
2017-12-01,San Jose,Dorm,86,1,85,65,1170.0,341.64,179.01,79.56,8.755
2017-12-01,Medellin,Dorm,215,25,190,91,1820.0,373.09999999999997,274.82,72.8,8.787
2017-12-01,Jaco,Dorm,118,2,116,55,880.0,289.52000000000004,100.32000000000001,23.759999999999998,8.78
2017-12-01,Bocas del Toro,Dorm,154,2,152,108,1728.0,618.624,390.528,164.16,8.689
2017-12-01,Red Frog,Dorm,24,1,23,17,255.0,91.545,44.879999999999995,20.655,8.754
2017-12-01,Puerto Viejo,Private,32,1,31,16,571.2,191.92320000000004,63.97440000000001,24.5616,8.794
2017-12-01,Bocas del Toro,Private,44,1,43,32,1008.0,360.864,217.728,108.864,8.699
2017-12-01,Santa Teresa North,Dorm,140,1,139,97,1455.0,446.685,226.98,91.665,8.743
2017-12-01,Bocas del Toro,Private Shared,32,1,31,24,691.1999999999999,245.37599999999998,166.5792,82.2528,8.71
2017-12-01,Manuel Antonio,Dorm,116,3,113,81,1377.0,415.854,210.68099999999998,78.489,8.741
2017-12-01,Manuel Antonio,Private Shared,18,1,17,13,421.2,125.09639999999999,60.65279999999999,25.693199999999997,8.743
2017-12-01,Tamarindo,Private Shared,34,1,33,19,581.4,190.6992,70.93079999999999,22.674599999999998,8.772
2017-12-01,Jaco,Private,42,2,40,19,598.5,202.8915,58.054500000000004,15.561,8.771
2017-12-01,Antigua,Dorm,92,11,81,38,646.0,3.23,101.422,9.69,9.008
2017-12-01,Medellin,Private,88,9,79,38,1444.0,294.57599999999996,215.15599999999998,60.648,8.794
2017-12-01,Puerto Viejo,Private Shared,40,1,39,21,642.5999999999999,210.7728,66.18779999999998,14.779799999999998,8.771
2017-12-01,Manuel Antonio,Private,60,1,59,43,1535.1000000000001,489.6969,211.84380000000004,105.92190000000002,8.75
2017-12-01,Venao,Dorm,51,1,50,38,608.0,206.72000000000003,143.488,56.544,8.711
2017-12-01,San Jose,Private,40,1,39,31,1106.7,332.01,163.7916,63.081900000000005,8.736
2017-12-01,La Fortuna,Dorm,100,6,94,35,595.0,207.65499999999997,58.31,21.419999999999998,8.783
2017-12-01,Tamarindo,Dorm,144,3,141,88,1584.0,497.376,212.256,45.936,8.774
2017-12-01,La Fortuna,Private,20,1,19,8,285.6,101.95920000000001,31.416000000000004,8.568,8.785
2017-12-01,San Jose,Private Shared,14,1,13,11,316.79999999999995,92.18879999999999,46.88639999999999,17.1072,8.763
2017-12-01,Puerto Viejo,Dorm,66,2,64,34,544.0,174.08,53.312000000000005,27.200000000000003,8.774
2017-12-01,Red Frog,Private,34,1,33,25,787.5,268.5375,150.4125,57.4875,8.755
2017-12-01,Medellin,Private Shared,24,3,21,11,334.40000000000003,62.867200000000004,56.84800000000001,14.3792,8.78
2017-12-01,Venao,Private Shared,34,1,33,25,674.9999999999999,222.74999999999997,155.92499999999998,76.27499999999999,8.689
2017-12-01,Pedasi,Dorm,8,1,7,6,96.0,33.024,22.656,9.792,8.719
2017-12-01,La Fortuna,Private Shared,32,2,30,13,350.99999999999994,116.53199999999998,29.483999999999998,9.476999999999999,8.787
2017-12-01,Antigua,Private,34,5,29,12,448.80000000000007,4.488,71.808,6.283200000000001,9.01
2017-12-01,Santa Teresa North,Private Shared,16,1,15,11,316.79999999999995,99.47519999999999,43.084799999999994,18.691199999999995,8.745
2017-12-01,Santa Teresa North,Private,22,1,21,15,535.5,162.2565,83.538,28.916999999999998,8.744
2017-12-01,Red Frog,Private Shared,14,1,13,10,251.99999999999994,88.95599999999997,46.61999999999999,17.891999999999996,8.739
2017-12-01,Tamarindo,Private,24,1,23,15,535.5,176.715,59.976,30.523500000000002,8.779
2017-12-01,Venao,Private,12,1,11,9,283.5,96.10650000000001,65.205,29.200499999999998,8.707
2017-12-02,Bocas del Toro,Dorm,154,1,153,110,1760.0,607.1999999999999,396.0,211.2,8.7
2017-12-02,Antigua,Private,34,5,29,14,585.2,3.5112000000000005,76.07600000000001,16.3856,8.992
